,id,lons,lats,lat1,lon1,dist1,i1,j1,w1,lat2,lon2,dist2,i2,j2,w2,lat3,lon3,dist3,i3,j3,w3,lat4,lon4,dist4,i4,j4,w4
0,1,-0.77,40.08,43.0,-3.0,,1.0,2.0,0.006844444444444299,43.0,0.0,,1.0,3.0,0.0198222222222218,40.0,0.0,,2.0,3.0,0.7235111111111115,40.0,-3.0,,2.0,2.0,0.2498222222222224
1,2,-2.32,37.99,40.0,-3.0,,2.0,2.0,0.25520000000000054,40.0,0.0,,2.0,3.0,0.07480000000000016,37.0,0.0,,3.0,3.0,0.15186666666666654,37.0,-3.0,,3.0,2.0,0.5181333333333328
2,3,2.45,39.59,40.0,0.0,,2.0,3.0,0.15827777777777793,40.0,3.0,,2.0,4.0,0.7050555555555565,37.0,3.0,,3.0,4.0,0.11161111111111019,37.0,0.0,,3.0,3.0,0.02505555555555534
3,4,-4.84,42.64,43.0,-6.0,,1.0,1.0,0.5397333333333334,43.0,-3.0,,1.0,2.0,0.3402666666666668,40.0,-3.0,,2.0,2.0,0.046399999999999934,40.0,-6.0,,2.0,1.0,0.07359999999999987
4,5,-3.31,42.02,43.0,-6.0,,1.0,1.0,0.0695777777777779,43.0,-3.0,,1.0,2.0,0.6037555555555565,40.0,-3.0,,2.0,2.0,0.2929111111111102,40.0,-6.0,,2.0,1.0,0.033755555555555455
5,6,0.6,42.67,43.0,0.0,,1.0,3.0,0.7120000000000004,43.0,3.0,,1.0,4.0,0.1780000000000001,40.0,3.0,,2.0,4.0,0.021999999999999888,40.0,0.0,,2.0,3.0,0.08799999999999955
6,7,-6.19,38.05,40.0,-9.0,,2.0,0.0,0.022166666666666654,40.0,-6.0,,2.0,1.0,0.32783333333333237,37.0,-6.0,,3.0,1.0,0.6088333333333341,37.0,-9.0,,3.0,0.0,0.04116666666666682
7,8,-2.99,37.26,40.0,-3.0,,2.0,2.0,0.08637777777777712,40.0,0.0,,2.0,3.0,0.00028888888888888053,37.0,0.0,,3.0,3.0,0.003044444444444382,37.0,-3.0,,3.0,2.0,0.9102888888888896
8,9,-5.73,42.9,43.0,-6.0,,1.0,1.0,0.8796666666666664,43.0,-3.0,,1.0,2.0,0.08699999999999981,40.0,-3.0,,2.0,2.0,0.003000000000000038,40.0,-6.0,,2.0,1.0,0.030333333333333767
9,10,0.64,41.76,43.0,0.0,,1.0,3.0,0.4615111111111106,43.0,3.0,,1.0,4.0,0.1251555555555554,40.0,3.0,,2.0,4.0,0.08817777777777792,40.0,0.0,,2.0,3.0,0.3251555555555561
10,11,-6.0,39.1,40.0,-6.0,,2.0,1.0,0.7000000000000005,40.0,-3.0,,2.0,2.0,0.0,37.0,-3.0,,3.0,2.0,0.0,37.0,-6.0,,3.0,1.0,0.29999999999999954
11,12,-4.81,36.89,37.0,-6.0,,3.0,1.0,0.5812111111111111,37.0,-3.0,,3.0,2.0,0.3821222222222224,34.0,-3.0,,4.0,2.0,0.014544444444444376,34.0,-6.0,,4.0,1.0,0.022122222222222102
12,13,-0.33,39.81,40.0,-3.0,,2.0,2.0,0.10303333333333342,40.0,0.0,,2.0,3.0,0.833633333333334,37.0,0.0,,3.0,3.0,0.05636666666666598,37.0,-3.0,,3.0,2.0,0.006966666666666584
13,14,1.22,41.48,43.0,0.0,,1.0,3.0,0.2927111111111105,43.0,3.0,,1.0,4.0,0.20062222222222179,40.0,3.0,,2.0,4.0,0.20604444444444486,40.0,0.0,,2.0,3.0,0.30062222222222285
14,15,-2.32,38.09,40.0,-3.0,,2.0,2.0,0.28097777777777866,40.0,0.0,,2.0,3.0,0.08235555555555583,37.0,0.0,,3.0,3.0,0.1443111111111109,37.0,-3.0,,3.0,2.0,0.4923555555555546
15,16,-2.13,39.18,40.0,-3.0,,2.0,2.0,0.5159333333333332,40.0,0.0,,2.0,3.0,0.21073333333333333,37.0,0.0,,3.0,3.0,0.07926666666666671,37.0,-3.0,,3.0,2.0,0.19406666666666672
16,17,-0.17,41.66,43.0,-3.0,,1.0,2.0,0.0313555555555555,43.0,0.0,,1.0,3.0,0.5219777777777767,40.0,0.0,,2.0,3.0,0.4213555555555566,40.0,-3.0,,2.0,2.0,0.025311111111111177
17,18,-8.06,43.28,46.0,-9.0,,0.0,0.0,0.06408888888888917,46.0,-6.0,,0.0,1.0,0.02924444444444455,43.0,-6.0,,1.0,1.0,0.2840888888888886,43.0,-9.0,,1.0,0.0,0.6225777777777777
18,19,-2.0,38.08,40.0,-3.0,,2.0,2.0,0.23999999999999963,40.0,0.0,,2.0,3.0,0.11999999999999982,37.0,0.0,,3.0,3.0,0.2133333333333335,37.0,-3.0,,3.0,2.0,0.426666666666667
