,id,lons,lats,lat1,lon1,dist1,i1,j1,w1,lat2,lon2,dist2,i2,j2,w2,lat3,lon3,dist3,i3,j3,w3,lat4,lon4,dist4,i4,j4,w4
0,1,-0.77,40.08,40.0,0.0,66.31230657402608,2.0,3.0,0.5699057949541195,40.0,-3.0,190.51931101893348,2.0,2.0,0.1983618751883684,40.0,3.0,321.84541124974345,2.0,4.0,0.1174221115863175,43.0,0.0,330.607082768863,1.0,3.0,0.11431021827119457
1,2,-2.32,37.99,37.0,-3.0,125.25463301534056,3.0,2.0,0.400309278719018,40.0,-3.0,230.78392757635703,2.0,2.0,0.2172620612065664,37.0,0.0,232.72055895040558,3.0,3.0,0.21545407085959944,40.0,0.0,300.2887567166244,2.0,3.0,0.1669745892148163
2,3,2.45,39.59,40.0,3.0,65.50814633135494,2.0,4.0,0.5839313115373587,40.0,0.0,214.71256249438815,2.0,3.0,0.17815565777456122,37.0,3.0,291.49173784527716,3.0,4.0,0.131229303740861,37.0,0.0,358.5575691649231,3.0,3.0,0.10668372694721916
3,4,-4.84,42.64,43.0,-6.0,102.94727217900842,1.0,1.0,0.43376762703395355,43.0,-3.0,155.6926674454085,1.0,2.0,0.28681629453336177,40.0,-6.0,308.8571458631962,2.0,1.0,0.14458203269963002,40.0,-3.0,331.18633887998624,2.0,2.0,0.13483404573305474
4,5,-3.31,42.02,43.0,-3.0,111.8028936710343,1.0,2.0,0.42911430380332694,40.0,-3.0,225.83948328548223,2.0,2.0,0.2124350453821967,43.0,-6.0,246.41214431610436,1.0,1.0,0.19469909250616335,43.0,0.0,292.98176686974267,1.0,3.0,0.16375155830831312
5,6,0.6,42.67,43.0,0.0,61.23976997071354,1.0,3.0,0.5824430877091717,43.0,3.0,199.6088179326356,1.0,4.0,0.17869291087320277,43.0,-3.0,296.58229413330713,1.0,2.0,0.12026571180378533,40.0,0.0,300.75206673283543,2.0,3.0,0.11859828961384018
6,7,-6.19,38.05,37.0,-6.0,117.74083813413912,3.0,1.0,0.42419696077590624,40.0,-6.0,217.10533149046634,2.0,1.0,0.2300510326154886,37.0,-9.0,274.3544619169719,3.0,0.0,0.18204663174322538,37.0,-3.0,305.0926442505712,3.0,2.0,0.16370537486537984
7,8,-2.99,37.26,37.0,-3.0,28.86850013863,3.0,2.0,0.7632136199890186,37.0,0.0,267.2418412532339,3.0,3.0,0.08244529520951528,37.0,-6.0,269.00849322135866,3.0,1.0,0.08190385452375722,40.0,-3.0,304.1644801987611,2.0,2.0,0.0724372302777089
8,9,-5.73,42.9,43.0,-6.0,24.676018436975053,1.0,1.0,0.7815855312319939,43.0,-3.0,223.05418762701558,1.0,2.0,0.08646517325648145,43.0,-9.0,267.06928006899875,1.0,0.0,0.07221504088291575,40.0,-6.0,322.8703379436937,2.0,1.0,0.05973425462860895
9,10,0.64,41.76,43.0,0.0,147.47895008275168,1.0,3.0,0.3477795721173719,40.0,0.0,202.75657183452432,2.0,3.0,0.25296426000908157,43.0,3.0,238.20286163684568,1.0,4.0,0.21532136853289996,40.0,3.0,278.8497138114111,2.0,4.0,0.18393479934064658
10,11,-6.0,39.1,40.0,-6.0,99.92340200377902,2.0,1.0,0.4648134383052218,37.0,-6.0,233.09465350295164,3.0,1.0,0.19925699433489272,40.0,-3.0,276.52070294112303,2.0,2.0,0.16796478367994266,40.0,-9.0,276.52070294112303,2.0,0.0,0.16796478367994266
11,12,-4.81,36.89,37.0,-6.0,106.70002042096684,3.0,1.0,0.4402497889874557,37.0,-3.0,161.68609876228425,3.0,2.0,0.2905299950637774,34.0,-6.0,338.3458969262762,4.0,1.0,0.13883620845422395,34.0,-3.0,360.27931935788934,4.0,2.0,0.1303840074945429
12,13,-0.33,39.81,40.0,0.0,35.232925622914934,2.0,3.0,0.7196615417659984,40.0,-3.0,229.28101912482296,2.0,2.0,0.11058822780663653,40.0,3.0,285.5187567138131,2.0,4.0,0.08880601003782328,37.0,0.0,313.250056059466,3.0,3.0,0.08094422038954172
13,14,1.22,41.48,40.0,0.0,193.980284193279,2.0,3.0,0.2684977708131448,43.0,0.0,196.5810889873535,1.0,3.0,0.26494549478737683,40.0,3.0,222.73585216384248,2.0,4.0,0.23383426323878806,43.0,3.0,223.79993486590834,1.0,4.0,0.2327224711606903
14,15,-2.32,38.09,37.0,-3.0,135.07872386503834,3.0,2.0,0.3782406724101341,40.0,-3.0,220.0591636935672,2.0,2.0,0.23217514092783256,37.0,0.0,238.04309918188653,3.0,3.0,0.2146345242462828,40.0,0.0,292.03981669652615,2.0,3.0,0.1749496624157506
15,16,-2.13,39.18,40.0,-3.0,117.78638597171954,2.0,2.0,0.4122197091910558,40.0,0.0,204.36267766039234,2.0,3.0,0.23758677625380292,37.0,-3.0,253.7227836618055,3.0,2.0,0.19136582482338896,37.0,0.0,305.7015426839703,3.0,3.0,0.15882768973175238
16,17,-0.17,41.66,43.0,0.0,149.50472849773138,1.0,3.0,0.3513489689791924,40.0,0.0,184.90081075365046,2.0,3.0,0.284089247640873,43.0,-3.0,276.6736937857398,1.0,2.0,0.18985661953055327,43.0,3.0,300.6684579768819,1.0,4.0,0.1747051638493814
