,id,lons,lats,lat1,lon1,dist1,i1,j1,w1,lat2,lon2,dist2,i2,j2,w2,lat3,lon3,dist3,i3,j3,w3,lat4,lon4,dist4,i4,j4,w4
0,1,-3.74,41.18,43.0,-6.0,,1.0,1.0,0.09702222222222223,43.0,-3.0,,1.0,2.0,0.29631111111111097,40.0,-3.0,,2.0,2.0,0.4570222222222222,40.0,-6.0,,2.0,1.0,0.14964444444444452
1,2,-4.48,37.79,40.0,-6.0,,2.0,1.0,0.129911111111111,40.0,-3.0,,2.0,2.0,0.13342222222222203,37.0,-3.0,,3.0,2.0,0.3732444444444445,37.0,-6.0,,3.0,1.0,0.3634222222222225
2,3,-5.13,41.65,43.0,-6.0,,1.0,1.0,0.3904999999999996,43.0,-3.0,,1.0,2.0,0.15949999999999986,40.0,-3.0,,2.0,2.0,0.13050000000000017,40.0,-6.0,,2.0,1.0,0.31950000000000034
3,4,-1.64,37.77,40.0,-3.0,,2.0,2.0,0.14031111111111166,40.0,0.0,,2.0,3.0,0.11635555555555605,37.0,0.0,,3.0,3.0,0.3369777777777773,37.0,-3.0,,3.0,2.0,0.40635555555555497
4,5,1.16,42.23,43.0,0.0,,1.0,3.0,0.45591111111111055,43.0,3.0,,1.0,4.0,0.2874222222222218,40.0,3.0,,2.0,4.0,0.09924444444444484,40.0,0.0,,2.0,3.0,0.15742222222222288
5,6,-3.4,41.52,43.0,-6.0,,1.0,1.0,0.06755555555555567,43.0,-3.0,,1.0,2.0,0.43911111111111206,40.0,-3.0,,2.0,2.0,0.42755555555555463,40.0,-6.0,,2.0,1.0,0.06577777777777763
6,7,2.79,39.71,40.0,0.0,,2.0,3.0,0.06323333333333334,40.0,3.0,,2.0,4.0,0.8401000000000003,37.0,3.0,,3.0,4.0,0.08989999999999973,37.0,0.0,,3.0,3.0,0.006766666666666646
7,8,-3.87,39.38,40.0,-6.0,,2.0,1.0,0.23006666666666695,40.0,-3.0,,2.0,2.0,0.5632666666666672,37.0,-3.0,,3.0,2.0,0.14673333333333272,37.0,-6.0,,3.0,1.0,0.059933333333333096
8,9,-3.37,42.07,43.0,-6.0,,1.0,1.0,0.08510000000000004,43.0,-3.0,,1.0,2.0,0.6049000000000001,40.0,-3.0,,2.0,2.0,0.27176666666666655,40.0,-6.0,,2.0,1.0,0.038233333333333334
9,10,-7.01,37.84,40.0,-9.0,,2.0,0.0,0.09426666666666703,40.0,-6.0,,2.0,1.0,0.18573333333333408,37.0,-6.0,,3.0,1.0,0.4775999999999993,37.0,-9.0,,3.0,0.0,0.24239999999999956
10,11,-8.52,42.72,43.0,-9.0,,1.0,0.0,0.7615999999999995,43.0,-6.0,,1.0,1.0,0.14506666666666673,40.0,-6.0,,2.0,1.0,0.014933333333333406,40.0,-9.0,,2.0,0.0,0.0784000000000003
11,12,-2.61,42.45,43.0,-3.0,,1.0,2.0,0.7105000000000008,43.0,0.0,,1.0,3.0,0.10616666666666683,40.0,0.0,,2.0,3.0,0.02383333333333322,40.0,-3.0,,2.0,2.0,0.15949999999999917
12,13,2.5,42.1,43.0,0.0,,1.0,3.0,0.11666666666666675,43.0,3.0,,1.0,4.0,0.5833333333333337,40.0,3.0,,2.0,4.0,0.2499999999999996,40.0,0.0,,2.0,3.0,0.04999999999999992
13,14,-6.13,38.85,40.0,-9.0,,2.0,0.0,0.02672222222222222,40.0,-6.0,,2.0,1.0,0.5899444444444449,37.0,-6.0,,3.0,1.0,0.3667222222222218,37.0,-9.0,,3.0,0.0,0.016611111111111077
14,15,-3.25,36.87,37.0,-6.0,,3.0,1.0,0.07972222222222215,37.0,-3.0,,3.0,2.0,0.8769444444444436,34.0,-3.0,,4.0,2.0,0.039722222222223005,34.0,-6.0,,4.0,1.0,0.003611111111111182
