,id,lons,lats,lat1,lon1,dist1,i1,j1,w1,lat2,lon2,dist2,i2,j2,w2,lat3,lon3,dist3,i3,j3,w3,lat4,lon4,dist4,i4,j4,w4
0,1,-3.74,41.18,40.0,-3.0,145.23709789077924,2.0,2.0,0.35193542093374264,43.0,-3.0,211.22129869467187,1.0,2.0,0.2419930163163794,40.0,-6.0,231.876565763713,2.0,1.0,0.22043658880765415,43.0,-6.0,275.3472478590974,1.0,1.0,0.18563497394222378
1,2,-4.48,37.79,37.0,-3.0,157.67425893344367,3.0,2.0,0.3208059071689153,37.0,-6.0,160.63002415441824,3.0,1.0,0.3149027334124231,40.0,-3.0,276.89503856936665,2.0,2.0,0.1826787288630238,40.0,-6.0,278.52046148758114,2.0,1.0,0.1816126305556379
2,3,-5.13,41.65,43.0,-6.0,166.21975875823804,1.0,1.0,0.31154555358218033,40.0,-6.0,197.38146522923518,2.0,1.0,0.2623601293996352,43.0,-3.0,230.8807751020214,1.0,2.0,0.224293368452826,40.0,-3.0,256.6143872304932,2.0,2.0,0.20180094856535846
3,4,-1.64,37.77,37.0,-3.0,147.6778382586218,3.0,2.0,0.3410546588724026,37.0,0.0,168.51212144184097,3.0,3.0,0.29888778515966363,40.0,-3.0,274.23514465349996,2.0,2.0,0.1836606858466173,40.0,0.0,285.527825497521,2.0,3.0,0.1763968701213164
4,5,1.16,42.23,43.0,0.0,127.96162638730246,1.0,3.0,0.3764064427072442,43.0,3.0,173.51018787978506,1.0,4.0,0.2775951151920199,40.0,0.0,266.12223006095013,2.0,3.0,0.1809904440543977,40.0,3.0,291.8984604488799,2.0,4.0,0.16500799804633837
5,6,-3.4,41.52,43.0,-3.0,167.67572143148766,1.0,2.0,0.3124974094429563,40.0,-3.0,172.14038162469328,2.0,2.0,0.30439242715320103,43.0,-6.0,270.2552363096615,1.0,1.0,0.19388423066030883,40.0,-6.0,276.90828531856795,2.0,1.0,0.18922593274353405
6,7,2.79,39.71,40.0,3.0,36.87452181601191,2.0,4.0,0.7266265733215379,40.0,0.0,240.90313376772136,2.0,3.0,0.1112231584993568,37.0,3.0,301.3780137090634,3.0,4.0,0.08890498381180764,43.0,3.0,365.81204730774374,1.0,4.0,0.07324528436729763
7,8,-3.87,39.38,40.0,-3.0,101.52682694003376,2.0,2.0,0.45388710436505636,40.0,-6.0,195.23975247706113,2.0,1.0,0.2360263056602589,37.0,-3.0,274.950476916995,3.0,2.0,0.16760006388021564,37.0,-6.0,323.411053369578,3.0,1.0,0.14248652609446913
8,9,-3.37,42.07,43.0,-3.0,107.68654223492639,1.0,2.0,0.43891626361101976,40.0,-3.0,231.97825775181806,2.0,2.0,0.20374915829185608,43.0,-6.0,239.47499274420105,1.0,1.0,0.19737081612288185,43.0,0.0,295.47551380140044,1.0,3.0,0.1599637619742423
9,10,-7.01,37.84,37.0,-6.0,129.16731543958625,3.0,1.0,0.3859019190736938,37.0,-9.0,199.29637904943442,3.0,0.0,0.2501094859198093,40.0,-6.0,255.28175887157508,2.0,1.0,0.19525842790361508,40.0,-9.0,295.4179194248078,2.0,0.0,0.16873016710288183
10,11,-8.52,42.72,43.0,-9.0,50.06382458550393,1.0,0.0,0.6488179234154143,43.0,-6.0,208.27654151047082,1.0,1.0,0.1559575863428058,40.0,-9.0,304.7423548266794,2.0,0.0,0.10658940639962688,46.0,-9.0,366.4723413997866,0.0,0.0,0.08863508384215306
11,12,-2.61,42.45,43.0,-3.0,68.94390486128769,1.0,2.0,0.5542577253902035,43.0,0.0,222.31753676076912,1.0,3.0,0.17188339005867864,40.0,-3.0,274.0498048575741,2.0,2.0,0.13943703374572863,43.0,-6.0,284.2744067202195,1.0,1.0,0.13442185080538932
12,13,2.5,42.1,43.0,3.0,108.08083324720809,1.0,4.0,0.43981840555728025,43.0,0.0,228.3657867693389,1.0,3.0,0.20815701170728812,40.0,3.0,236.9719772433692,2.0,4.0,0.20059730396421577,40.0,0.0,313.919263000883,2.0,3.0,0.1514272787712159
13,14,-6.13,38.85,40.0,-6.0,128.16685509794766,2.0,1.0,0.3978027293199117,37.0,-6.0,205.65868647929838,3.0,1.0,0.24791136051258106,40.0,-9.0,278.1369574237011,2.0,0.0,0.18330942151152108,40.0,-3.0,298.19962479693925,2.0,2.0,0.1709764886559862
14,15,-3.25,36.87,37.0,-3.0,26.536215107047177,3.0,2.0,0.7795448479804645,37.0,-6.0,245.40610097553798,3.0,1.0,0.08429362468727698,37.0,0.0,289.87903621345424,3.0,3.0,0.07136138591397692,34.0,-3.0,319.23031831168095,4.0,2.0,0.06480014141828166
